state,zcta5,ZIPName,County,County2
36,10517,"Crompond, NY (PO Boxes)",Westchester NY,
36,10518,"Cross River, NY",Westchester NY,
36,10519,"Croton Falls, NY (PO Boxes)",Westchester NY,
36,10520,"Croton-on-Hudson, NY",Westchester NY,
36,10522,"Dobbs Ferry, NY",Westchester NY,
36,10523,"Elmsford, NY",Westchester NY,
36,10524,"Garrison, NY",Putnam NY,
36,10526,"Goldens Bridge, NY",Westchester NY,
36,10527,"Granite Springs, NY",Westchester NY,
36,10528,"Harrison, NY",Westchester NY,
36,10530,"Hartsdale, NY",Westchester NY,
36,10532,"Hawthorne, NY",Westchester NY,
36,10533,"Irvington, NY",Westchester NY,
36,10535,"Jefferson Valley-Yorktown, NY",Westchester NY,
36,10536,"Katonah, NY",Westchester NY,
36,10537,"Lake Peekskill, NY",Putnam NY,Westchester NY
36,10538,"Larchmont, NY",Westchester NY,
36,10541,"Mahopac, NY",Putnam NY,Westchester NY
36,10543,"Mamaroneck, NY",Westchester NY,
36,10545,"Maryknoll, NY (PO Boxes)",Westchester NY,
36,10546,"Millwood, NY",Westchester NY,
36,10547,"Lake Mohegan, NY",Westchester NY,
36,10548,"Montrose, NY",Westchester NY,
36,10549,"Mount Kisco, NY",Westchester NY,
36,10550,"Mount Vernon, NY",Westchester NY,
36,10552,"Mount Vernon, NY",Westchester NY,
36,10553,"Mount Vernon, NY",Westchester NY,
36,10560,"North Salem, NY",Westchester NY,
36,10562,"Ossining, NY",Westchester NY,
36,10566,"Peekskill, NY",Westchester NY,
36,10567,"Cortlandt Manor, NY",Westchester NY,
36,10570,"Pleasantville, NY",Westchester NY,
36,10573,"Port Chester, NY",Westchester NY,
36,10576,"Pound Ridge, NY",Westchester NY,
36,10577,"Harrison, NY",Westchester NY,
36,10578,"Purdys, NY",Westchester NY,
36,10579,"Putnam Valley, NY",Putnam NY,
36,10580,"Rye, NY",Westchester NY,
36,10583,"Scarsdale, NY",Westchester NY,
36,10588,"Shrub Oak, NY",Westchester NY,Putnam NY
36,10589,"Somers, NY",Westchester NY,
36,10590,"South Salem, NY",Westchester NY,
36,10591,"Tarrytown, NY",Westchester NY,
36,10594,"Thornwood, NY",Westchester NY,
36,10595,"Valhalla, NY",Westchester NY,
36,10596,"Verplanck, NY",Westchester NY,
